Date,Time,x-booster (km),y-booster (km),z-booster (km),x-moon (km),y-moon (km),z-moon (km)
1/3/2022,7:59:59 AM,100033.2464,-207811.1898,7084.565221,125729.5089,-298681.9783,-156449.2044
1/3/2022,8:59:59 AM,104680.185,-208590.4343,4500.436489,129438.2666,-297387.9504,-156143.8438
1/3/2022,9:59:59 AM,109282.8144,-209287.0462,1912.753953,133132.5255,-296060.9532,-155821.1179
1/3/2022,10:59:59 AM,113844.7012,-209901.4908,676.0824021,136811.9661,-294701.1325,-155481.0753
1/3/2022,11:59:59 AM,118361.5622,-210437.0596,3268.329336,140476.1128,-293308.7123,-155123.7621
1/3/2022,12:59:59 PM,122865.0104,-210944.4088,-2660.647163,144124.6314,-291883.8288,-154749.2796
1/3/2022,1:59:59 PM,127343.5848,-211405.6397,-161.5282472,147757.1582,-290426.6973,-154357.6133
1/3/2022,2:59:59 PM,131741.6742,-211734.2139,-6367.966283,151373.2036,-288937.545,-153948.8606
1/3/2022,3:59:59 PM,136023.3721,-211878.1769,-12756.00443,154972.4286,-287416.5315,-153523.1175
1/3/2022,4:59:59 PM,140466.1139,-212268.1003,-10444.46842,158554.4543,-285863.8732,-153080.4211
1/3/2022,5:59:59 PM,144621.7767,-212226.3328,-17105.35406,162118.8515,-284279.8232,-152620.8073
1/3/2022,6:59:59 PM,149028.2571,-212548.0701,-14889.48292,165665.362,-282664.4832,-152144.4244
1/3/2022,7:59:59 PM,153046.765,-212315.2022,-21819.39215,169193.455,-281018.1806,-151651.3054
1/3/2022,8:59:59 PM,157416.9556,-212571.8776,-19697.9433,172702.8956,-279341.0776,-151141.4821
1/3/2022,9:59:59 PM,161283.6768,-212146.8281,-26894.50423,176193.2855,-277633.4079,-150615.042
1/3/2022,10:59:59 PM,165622.089,-212339.6864,-24868.33243,179664.2118,-275895.393,-150072.1293
1/3/2022,11:59:59 PM,169323.5751,-211719.2912,-32325.4555,183115.289,-274127.3089,-149512.7726
1/4/2022,12:59:59 AM,173627.5399,-211851.5018,-30396.05628,186546.2454,-272329.3003,-148937.1145
1/4/2022,1:59:59 AM,177150.9887,-211036.1612,-38105.46162,189956.7078,-270501.6791,-148345.1241
1/4/2022,2:59:59 AM,181421.0593,-211110.7971,-36271.36422,193346.2911,-268644.6483,-147737.0005
1/4/2022,3:59:59 AM,184753.3647,-210096.8837,-44227.32428,196714.7003,-266758.449,-147112.7692
1/4/2022,4:59:59 AM,188990.1699,-210115.9886,-42489.27562,200061.5315,-264843.3769,-146472.513
1/4/2022,5:59:59 AM,193194.025,-210081.592,-40748.16863,203386.4574,-262899.6479,-145816.3723
1/4/2022,6:59:59 AM,196316.2264,-208872.8364,-49039.37267,206689.1649,-260927.5051,-145144.4293
1/4/2022,7:59:59 AM,200487.4788,-208786.6105,-47392.24315,209969.3549,-258927.2182,-144456.7081
1/4/2022,8:59:59 AM,203388.4484,-207382.4746,-55912.84566,213226.6802,-256899.0048,-143753.4071
1/4/2022,9:59:59 AM,207526.187,-207248.6848,-54358.12372,216460.7348,-254843.2055,-143034.6085
1/4/2022,10:59:59 AM,211636.5229,-207065.9609,-52800.01449,219671.3355,-252759.9809,-142300.3946
1/4/2022,11:59:59 AM,214295.6385,-205472.2156,-61636.81557,222858.0487,-250649.7443,-141550.7895
1/4/2022,12:59:59 PM,218371.769,-205247.1116,-60169.09427,226020.6392,-248512.6126,-140786.0516
1/4/2022,1:59:59 PM,220779.2776,-203464.8416,-69216.7403,229158.7779,-246348.9568,-140006.1469
1/4/2022,2:59:59 PM,224822.5439,-203202.1607,-67837.32521,232272.1563,-244159.0041,-139211.2766
1/4/2022,3:59:59 PM,228839.3822,-202896.5119,-66451.21129,235360.4983,-241943.0244,-138401.5251
1/4/2022,4:59:59 PM,230975.869,-200937.6575,-75791.99872,238423.4601,-239701.3939,-137576.9184
1/4/2022,5:59:59 PM,234962.5865,-200600.1864,-74491.53078,241460.799,-237434.2624,-136737.7191
1/4/2022,6:59:59 PM,238923.713,-200226.2992,-73185.58949,244472.2133,-235141.979,-135883.955
1/4/2022,7:59:59 PM,240775.1493,-198103.5823,-82802.68221,247457.4267,-232824.8405,-135015.7135
1/4/2022,8:59:59 PM,244708.5969,-197707.7607,-81578.14631,250416.1289,-230483.1187,-134133.2014
1/4/2022,9:59:59 PM,248619.7198,-197283.282,-80343.18638,253348.0617,-228117.1406,-133236.4491
1/4/2022,10:59:59 PM,250178.3717,-195015.8064,-90224.17677,256252.9947,-225727.1036,-132325.6662
1/4/2022,11:59:59 PM,254067.303,-194568.429,-89079.49071,259130.6476,-223313.4056,-131400.8252
1/5/2022,12:59:59 AM,257938.2545,-194114.6774,-87911.5958,261980.7337,-220876.2858,-130462.1981
1/5/2022,1:59:59 AM,259200.7161,-191728.4402,-98041.12577,264802.9798,-218416.0816,-129509.8796
1/5/2022,2:59:59 AM,263058.6949,-191295.8299,-96945.28609,267597.2077,-215933.0574,-128543.9055
1/5/2022,3:59:59 AM,266907.3258,-190860.9052,-95831.94425,270363.111,-213427.5327,-127564.4929
1/5/2022,4:59:59 AM,267879.4376,-188417.2868,-106197.417,273100.4767,-210899.7545,-126571.8008
1/5/2022,5:59:59 AM,271735.3406,-188053.2402,-105152.7787,275809.0344,-208350.1582,-125565.8092
1/5/2022,6:59:59 AM,275593.3221,-187726.9574,-104090.662,278488.5561,-205778.9879,-124546.7402
1/5/2022,7:59:59 AM,279461.8947,-187454.4888,-103009.5051,281138.8665,-203186.4574,-123514.7579
1/5/2022,8:59:59 AM,280208.8267,-185187.9107,-113705.3296,283759.6308,-200573.0428,-122469.9679
1/5/2022,9:59:59 AM,284133.403,-185253.6802,-112801.0426,286350.7462,-197938.9432,-121412.4162
1/5/2022,10:59:59 AM,288072.5996,-185635.2973,-112071.9048,288911.9345,-195284.4604,-120342.3941
1/5/2022,11:59:59 AM,288515.3265,-184108.4976,-123625.5082,291442.9735,-192610.0135,-119259.8904
1/5/2022,12:59:59 PM,292287.3064,-185035.2973,-123697.5049,293943.7083,-189915.776,-118165.1397
1/5/2022,1:59:59 PM,295853.5853,-186008.6114,-124194.0767,296413.8699,-187202.2154,-117058.1952
1/5/2022,2:59:59 PM,299215.5972,-186895.0253,-125000.1831,298853.3054,-184469.514,-115939.2958
1/5/2022,3:59:59 PM,302412.8557,-187653.1357,-125997.0541,301261.7842,-181718.0976,-114808.4986
1/5/2022,4:59:59 PM,305485.3644,-188288.2025,-127105.0328,303639.1404,-178948.219,-113665.9855
1/5/2022,5:59:59 PM,308460.5164,-188815.093,-128280.2522,305985.2116,-176160.2069,-112511.8173
1/5/2022,6:59:59 PM,311356.6966,-189248.9193,-129493.9766,308299.7556,-173354.4177,-111346.2417
1/5/2022,7:59:59 PM,314183.7682,-189608.7976,-130732.3251,310582.6283,-170531.1252,-110169.3854
1/5/2022,8:59:59 PM,316954.161,-189899.8286,-131986.9727,312833.6733,-167690.6685,-108981.3155
1/5/2022,9:59:59 PM,319670.3804,-190136.681,-133247.8839,315052.6742,-164833.4272,-107782.2245
1/5/2022,10:59:59 PM,322340.0325,-190321.4239,-134514.0919,317239.5046,-161959.6204,-106572.3076
1/5/2022,11:59:59 PM,327138.8332,-189362.5019,-134731.1415,319394.0031,-159069.6606,-105351.5759
